5206776557548813711	1
6736405092317554326	2
14967515741043832650	1
5389959285786983425	614
15953785431007229037	131110
4624381386088595007	278570
8755166724590550139	17
12065316197202690701	61
3034560060096527072	2
164047156365009863	12
9559945535586893043	282
2910147613359594908	1
12921712364600673692	0
7731294432711938257	2
16015251407158424042	747526
8946608328501596910	3458
12055837630935446162	5
2849570636107828885	1
4380066012618896994	32140
15143632687948345123	46
13363431145385970729	3941
17738412943531175003	5
12676569080610883195	184
16246168500325115304	67
16617850619643780593	2
16126786591394454495	11
10164128360392794749	15215
11830825919425202644	51790
9312113491265699249	0
18157844492717023161	79
6086194883991296202	12257
10791997533666134311	1
714540311371837642	1
17975897185312600454	6
11524149286348478558	10
5195431943855472041	2
2381051834038565606	1372
11089141818928754257	2
7119824862664568857	1
1016599242709587436	1334883
13657649119585928932	46
3330018701461609140	146555
16068089581644272084	162
6663087686932173039	762
16699934642913385912	1
10679346894718451196	2
14658365798372265702	75493
3285242225282187007	37085
12857088947194983026	2
1879842703448011250	929
11129303556539114473	354
15243544672987595423	1
7255990846583285597	199889
9750191316526481610	3385
11059128294037287704	892998
12965101508326107963	1
11036946513114188159	564
2137614900889839757	25
10041883576967620924	100
6731687487661956890	10
1984982966817690991	182
13448081618102153407	60
10446428792604836687	2
7379889235056588024	24
4956561223035188612	11
13287652547152196230	2
358214234808049068	1
11457428496249095921	750
8679308836476013034	3
1802735265564844805	588268
14020030520206872737	1
16983472413982846056	10
2704707289508894246	1
10511123596214013958	131110
1988848551986795757	3
6500772480931350820	3742
5849189301094827602	1
14046415374170333585	104
9403340034831025081	412712
12137508654894200970	105
9706565912109577712	1971
5188491527466272964	4916
9119299075966103328	649
18376220970605708327	9355
2761879605747055828	15
2547931769925802755	1
13023470117999765351	256
4931232945136728014	1
8052401157274933225	1
10001749429205467573	21806
833399355370073275	13
1391125502685718922	186594
17187365995270012293	67445
179235428510324120	8527
1971151827582980048	7
13009186099814405341	53
13977672547075693063	2
15038615121585698103	1
10849439176962028849	7
4710527438393092569	1
7246442427843442494	1
4430507040782708415	19
12844006184345368048	18804
17475207801192656803	3864
17360048182271830589	7
5772260767045956112	1
2385627816442009181	291451
11400109485895254350	2
15654953104272771198	1
5883342267193419087	2383
2196945359145614677	1
9162405225272341374	2
7754563841688250757	1
8497285493460712609	15
13802609825766957139	1
14942652193829450472	46
13705453014997057556	1261
9180561044751191587	40
3424034372871736636	1
2825213906733634649	2
11886302883513603258	3
9082686874785341929	9436
5544075057574230254	5
8350571377554041638	341804
3605877272515518773	2
13627010023728734291	6246
7739476919136946959	1
13662496595220089365	1
924843434455100529	975229
6292547210509554457	3
4843412110612255099	2781
11394641463035475229	248
13579819169388851859	1
7137616385029833476	6
11143617157838338321	1
6416581516446787249	13
2172623687180650509	2
6912764426184957238	37489
17042495644308676508	4
505283472392667082	211
12153669829251871102	115
6931568852986736058	80
13226344765869539063	9853
17997215850797435146	1
8013055845394825514	19
17887870704190023465	13
3819233224281926163	1735
4916227068636457871	10
8055181292275020113	1
1412904689422395591	0
3415808503493702476	11732
13720083357893089773	1
17034459141263331488	1523
8992569563671457342	1513
13264033925492879574	13
3050002275726483391	35
15478069830698639090	82474
7148664342267131142	451027
10738412900718597940	3
15869532513099530930	1966
12072031725174077916	1
10863849969837850834	2
16095698898030073469	0
980256217006125199	14804
7307556977836810757	10
12189351190625192520	1
2146398625030878748	2103
5572206316312183808	1
12839474024222282218	304
5687737909060986393	4
10759281840857432881	1
8286198583227302856	17
9730447042837250401	4
11948350198646040878	132
11124101051431845464	25874
9436386778104793895	1
16231452714561344960	167
4044922931911829738	1
7236253707335403793	19140
15682139686822284395	78
14809673497798182101	35577
11994436848319713843	110
6590365010976372522	1
6789047360763933414	1
14134319668904002739	1
14901657340937674324	270
13906328040870521272	3946
16593927245878823295	204
4980312989787702076	67
17323645774168464002	1
5829119188792387599	1
10725620896345332748	28749
1084120610362989288	1
9503841670175139740	32
5098585133036589337	109
4205589697489696518	295007
319526235592322475	8869
15494476320090688471	426
14053778816020825948	11
15763540907624247604	333
8189815787756839941	262
1104901849742672077	0
5928724464125341429	1
1051494513460640031	3596
17394143734235876797	1
4003198857286179628	349
4249178819796016379	1
14400754413081827650	2
7946519696775130624	26
4849437323244655014	3
17789547750403381733	903993
13456345698545123874	1
13815644699108993527	1
10159807843114183517	31690
15317062123449553510	4
10634824992035589061	1
13792459122111278707	90
6699201538933595486	4
15266757787424300714	1
11073596533274630405	3
4021937637326618684	3000
13323327081705136922	1
1717916683713255671	2
14143644377705734215	1
13673136169777830895	20
96565025598155584	326
720021913774318275	7
3024741581089286561	1
12655934292213348899	8
12592591930047436897	3866
17166926081723413560	755
4618305122512414715	37091
6852876372447592123	2
4882454715733150444	1
